Pat Benatar,Hit Me with Your Best Shot,1,Guitar Hero 3
Kiss,Rock and Roll All Nite,1,Guitar Hero 3
Foghat,Slow Ride,1,Guitar Hero 3
Social Distortion,Story of My Life,1,Guitar Hero 3
Poison,Talk Dirty to Me,1,Guitar Hero 3
Heart,Barracuda,2,Guitar Hero 3
Rage Against the Machine,Bulls on Parade,2,Guitar Hero 3
Tom Morello,Guitar Battle vs. Tom Morello,2,Guitar Hero 3
Mountain,Mississippi Queen,2,Guitar Hero 3
Alice Cooper,School's Out,2,Guitar Hero 3
Cream,Sunshine of Your Love,2,Guitar Hero 3
Priestess,Lay Down,3,Guitar Hero 3
AFI,Miss Murder,3,Guitar Hero 3
The Rolling Stones,Paint It Blackc,3,Guitar Hero 3
The Who,The Seeker,3,Guitar Hero 3
The Killers,When You Were Young,3,Guitar Hero 3
Sex Pistols,Anarchy in the U.K.,4,Guitar Hero 3
Pearl Jam,Even Flow,4,Guitar Hero 3
Sonic Youth,Kool Thing,4,Guitar Hero 3
Weezer,My Name Is Jonas,4,Guitar Hero 3
Black Sabbath,Paranoid,4,Guitar Hero 3
Slash,Guitar Battle vs. Slash,5,Guitar Hero 3
Dead Kennedys,Holiday in Cambodia,5,Guitar Hero 3
ZZ Top,La Grange,5,Guitar Hero 3
Scorpions,Rock You Like a Hurricane,5,Guitar Hero 3
Aerosmith,Same Old Song and Danceb,5,Guitar Hero 3
Guns N' Roses,Welcome to the Jungle,5,Guitar Hero 3
Santana,Black Magic Woman,6,Guitar Hero 3
White Zombie,Black Sunshine,6,Guitar Hero 3
The Smashing Pumpkins,Cherub Rock,6,Guitar Hero 3
Stevie Ray Vaughan,Pride and Joy,6,Guitar Hero 3
Tenacious D,The Metal,6,Guitar Hero 3
Muse,Knights of Cydonia,7,Guitar Hero 3
Queens of the Stone Age,3's & 7's,7,Guitar Hero 3
Slipknot,Before I Forget,7,Guitar Hero 3
Living Colour,Cult of Personality,7,Guitar Hero 3
Disturbed,Stricken,7,Guitar Hero 3
Eric Johnson,Cliffs of Dover,8,Guitar Hero 3
Metallica,Oneb,8,Guitar Hero 3
Slayer,Raining Blood,8,Guitar Hero 3
Steve Ouimette,The Devil Went Down to Georgia,8,Guitar Hero 3
Iron Maiden,The Number of the Beast,8,Guitar Hero 3
Blue Öyster Cult,Cities on Flame with Rock and Roll,???,Guitar Hero 3
Bloc Party,Helicopter,???,Guitar Hero 3
Matchbook Romance,Monsters,???,Guitar Hero 3
The Strokes,Reptilia,???,Guitar Hero 3
Beastie Boys,Sabotage,???,Guitar Hero 3
Red Hot Chili Peppers,Suck My Kiss,???,Guitar Hero 3
Héroes del Silencio,Avalanchac,Bonus,Guitar Hero 3
Senses Fail,Can't Be Saved,Bonus,Guitar Hero 3
Lacuna Coil,Closer,Bonus,Guitar Hero 3
The Sleeping,Don't Hold Back,Bonus,Guitar Hero 3
L.A. Slum Lords,Down 'n Dirty,Bonus,Guitar Hero 3
The Fall of Troy,F.C.P.R.E.M.I.X.,Bonus,Guitar Hero 3
Revolverheld,Generation Rock,Bonus,Guitar Hero 3
Bret Michaels Band,Go That Farc,Bonus,Guitar Hero 3
Die Toten Hosen,Hier Kommt Alex,Bonus,Guitar Hero 3
Hellacopters,I'm in the Band,Bonus,Guitar Hero 3
An Endless Sporadic,Impulse,Bonus,Guitar Hero 3
Scouts of St. Sebastian,In Love,Bonus,Guitar Hero 3
Gallows,In the Belly of a Shark,Bonus,Guitar Hero 3
Naast,Mauvais Garçon,Bonus,Guitar Hero 3
Lions,Metal Heavy Lady,Bonus,Guitar Hero 3
Backyard Babies,Minus Celsius,Bonus,Guitar Hero 3
Killswitch Engage,My Curse,Bonus,Guitar Hero 3
Dope,Nothing for Me Here,Bonus,Guitar Hero 3
Rise Against,Prayer of the Refugee,Bonus,Guitar Hero 3
Superbus,Radio Song,Bonus,Guitar Hero 3
Kaiser Chiefs,Ruby,Bonus,Guitar Hero 3
The Stone Roses,She Bangs the Drums,Bonus,Guitar Hero 3
In Flames,Take This Life,Bonus,Guitar Hero 3
Prototype,The Way It Ends,Bonus,Guitar Hero 3
DragonForce,Through the Fire and Flames,Bonus,Guitar Hero 3
Survivor,Eye of the Tiger,1,Guitar Hero 4
Oasis,Some Might Say,1,Guitar Hero 4
Creedence Clearwater Revival,Up Around the Bend,1,Guitar Hero 4
Korn,Freak on a Leash,2,Guitar Hero 4
The Cult,Love Removal Machine,2,Guitar Hero 4
Jane's Addiction,Mountain Song,2,Guitar Hero 4
Billy Idol,Rebel Yell,2,Guitar Hero 4
Jimmy Eat World,The Middle,2,Guitar Hero 4
311,Beautiful Disaster,3,Guitar Hero 4
Dinosaur Jr.,Feel the Pain,3,Guitar Hero 4
The Smashing Pumpkins,Today,3,Guitar Hero 4
HushPuppies,You're Gonna Say Yeah!,3,Guitar Hero 4
Wings,Band on the Run,4,Guitar Hero 4
Steve Miller Band,The Joker,4,Guitar Hero 4
R.E.M.,The One I Love,4,Guitar Hero 4
Bon Jovi,Livin' on a Prayer,5,Guitar Hero 4
Paramore,Misery Business,5,Guitar Hero 4
Interpol,Obstacle 1,5,Guitar Hero 4
Blondie,One Way or Another,5,Guitar Hero 4
The Allman Brothers Band,Ramblin' Man,5,Guitar Hero 4
Tool,Parabola,6,Guitar Hero 4
Tool,Schism,6,Guitar Hero 4
Tool,Vicarious,6,Guitar Hero 4
Steely Dan,Do It Again,7,Guitar Hero 4
Eagles,Hotel California,7,Guitar Hero 4
Willie Nelson,On the Road Again (Live),7,Guitar Hero 4
Black Label Society,Stillborn,7,Guitar Hero 4
The Guess Who,American Woman,8,Guitar Hero 4
Blink-182,Dammit,8,Guitar Hero 4
Filter,"Hey Man, Nice Shot",8,Guitar Hero 4
The Doors,Love Me Two Times,8,Guitar Hero 4
No Doubt,Spiderwebs,8,Guitar Hero 4
Lenny Kravitz,Are You Gonna Go My Way,9,Guitar Hero 4
Michael Jackson,Beat It,9,Guitar Hero 4
Fleetwood Mac,Go Your Own Way,9,Guitar Hero 4
Pat Benatar,Heartbreaker,9,Guitar Hero 4
Ted Nugent,Stranglehold+,9,Guitar Hero 4
Nirvana,About a Girl (Unplugged Live),10,Guitar Hero 4
Beastie Boys ft. Kerry King,No Sleep Till Brooklyn,10,Guitar Hero 4
Linkin Park,What I've Done,10,Guitar Hero 4
The Enemy,Aggro,11,Guitar Hero 4
Modest Mouse,Float On,11,Guitar Hero 4
Tokio Hotel,Monsoon,11,Guitar Hero 4
Lostprophets,Rooftops (A Liberation Broadcast),11,Guitar Hero 4
Airbourne,"Too Much, Too Young, Too Fast",11,Guitar Hero 4
Sting,Demolition Man (Live),12,Guitar Hero 4
Radio Futura,Escuela de Calor,12,Guitar Hero 4
MC5's Wayne Kramer,Kick Out the Jams,12,Guitar Hero 4
Sublime,Santeria,12,Guitar Hero 4
Coldplay,Shiver,12,Guitar Hero 4
Beatsteaks,Hail to the Freaks,13,Guitar Hero 4
Silversun Pickups,Lazy Eye,13,Guitar Hero 4
Negramaro,Nuvole E Lenzuola,13,Guitar Hero 4
Sex Pistols,Pretty Vacant,13,Guitar Hero 4
Stuck in the Sound,Toy Boy,13,Guitar Hero 4
The Mars Volta,L'Via L'Viaquez,14,Guitar Hero 4
Lynyrd Skynyrd,Sweet Home Alabama (Live),14,Guitar Hero 4
30 Seconds to Mars,The Kill,14,Guitar Hero 4
The Jimi Hendrix Experience,The Wind Cries Mary,14,Guitar Hero 4
The Jimi Hendrix Experience,Purple Haze (Live at San Diego),14,Guitar Hero 4
Foo Fighters,Everlong,14,Guitar Hero 4
Anouk,Good God,15,Guitar Hero 4
Bob Seger & The Silver Bullet Band,Hollywood Nights,15,Guitar Hero 4
At the Drive-In,One Armed Scissor,15,Guitar Hero 4
Kent,VinterNoll2,15,Guitar Hero 4
Black Rebel Motorcycle Club,Weapon of Choice,15,Guitar Hero 4
Ozzy Osbourne,Crazy Train,16,Guitar Hero 4
Ozzy Osbourne,Mr. Crowley,16,Guitar Hero 4
Lacuna Coil,Our Truth+,16,Guitar Hero 4
Motörhead,Overkill+,16,Guitar Hero 4
The Living End,Prisoner of Society,16,Guitar Hero 4
Bullet for My Valentine,Scream Aim Fire,16,Guitar Hero 4
Trust,Antisocial,17,Guitar Hero 4
Muse,Assassin,17,Guitar Hero 4
System of a Down,B.Y.O.B.,17,Guitar Hero 4
Van Halen,Hot for Teacher,17,Guitar Hero 4
Los Lobos,La Bamba,17,Guitar Hero 4
Rise Against,Re-Education (Through Labor),17,Guitar Hero 4
Metallica,Trapped Under Ice,17,Guitar Hero 4
The Stone Roses,Love Spreads,18,Guitar Hero 4
The Answer,Never Too Late,18,Guitar Hero 4
Dream Theater,Pull Me Under,18,Guitar Hero 4
Joe Satriani,Satch Boogied,18,Guitar Hero 4
NOFX,Soul Doubt,18,Guitar Hero 4
Bob Dylan,All Along the Watchtower,1,Guitar Hero 5
Gorillaz,Feel Good Inc.,1,Guitar Hero 5
Beck,Gamma Ray,1,Guitar Hero 5
Coldplay,In My Place,1,Guitar Hero 5
Blur,Song 2,1,Guitar Hero 5
The Rolling Stones,Sympathy for the Devil,1,Guitar Hero 5
Scars on Broadway,They Say,1,Guitar Hero 5
Darker My Love,Blue Day,2,Guitar Hero 5
The White Stripes,Blue Orchid,2,Guitar Hero 5
Beastie Boys,Gratitude,2,Guitar Hero 5
John Mellencamp,Hurts So Good,2,Guitar Hero 5
Garbage,Only Happy When It Rains,2,Guitar Hero 5
Brand New,Sowing Season (Yeah),2,Guitar Hero 5
The Raconteurs,"Steady, As She Goes",2,Guitar Hero 5
Band of Horses,"Cigarettes, Wedding Bands",3,Guitar Hero 5
No Doubt,Ex-Girlfriend,3,Guitar Hero 5
David Bowie,Fame,3,Guitar Hero 5
Wild Cherry,Play That Funky Music,3,Guitar Hero 5
Kings of Leon,Sex on Fire,3,Guitar Hero 5
Queen and David Bowie,Under Pressure,3,Guitar Hero 5
Deep Purple,Woman From Tokyo ('99 Remix),3,Guitar Hero 5
Bush,Comedown,4,Guitar Hero 5
Billy Idol,Dancing with Myself,4,Guitar Hero 5
3 Doors Down,Kryptonite,4,Guitar Hero 5
Love and Rockets,Mirror People,4,Guitar Hero 5
Kaiser Chiefs,Never Miss a Beat,4,Guitar Hero 5
The Duke Spirit,Send a Little Love Token,4,Guitar Hero 5
Kiss,Shout It Out Loud,4,Guitar Hero 5
Spacehog,In the Meantime,5,Guitar Hero 5
Elliott Smith,L.A.,5,Guitar Hero 5
Queens of the Stone Age,Make It wit Chu,5,Guitar Hero 5
Muse,Plug In Baby,5,Guitar Hero 5
